词频排名,单词,阶段,周区间,说明,音标,中文释义,例句
47,do,起点,开始前自测,,ˈdu,做；干；v. 做，干，办（某事）；行动，表现；顺利进行，进展；从事（工作）；执行（任务）；学习，研究；解答，解决，算出；制作，做出；演出，编排（戏剧等）；仿效，模仿；完成，做好；供给，提供；走过，行过；以……速度行进；达到（一定销售额）；参观，游览，旅行；处理；适合，足够；煮制；欺骗；惩罚；（从某地方）盗窃；护理；（非正式）吸（毒）；（非正式）性交；度过（一段时间）；导致，引起；（非正式）痛打，杀死；生长；整理；aux. 与动词连用构成否定句和疑问句；用于构成疑问尾句；用于避免重复某一动词；用于强调主要动词；用于祈使句中表示礼貌；用于肯定或否定回答；用在倒装句中,What do you do for a living ?　你靠什么谋生？
48,no,起点,开始前自测,,ˈnoʊ,adv. （number的缩写）第......号；n. （柬、越）诺（人名）；adv. （no）不，完全不,She had no money coming in and no funds.　她既无固定收入也无存款。
49,information,起点,开始前自测,,ˌɪnfɚˈmeɪʃən,n. 消息，资料，情报；（计算机程序储存和使用的）数据，信息；问讯处，信息台；（向治安法院提起的）控告，起诉；知识,We pooled ideas and information.　我们汇集了意见和信息。
50,time,起点,开始前自测,,ˈtaɪm,时间,What time is it?　现在几点？
51,they,起点,开始前自测,,ˈðeɪ,pron. 他们；它们；她们,They knew they had been rumbled.　他们知道自己已经被识破了。
52,site,起点,开始前自测,,ˈsaɪt,n. （建筑的）工地，用地；（某事发生的）地点，现场；（作某种用途的）场所，场地；网站，站点（=website）；（身体的某个）部位；（城镇、建筑物或纪念碑的）地基，选址；遗址，原址；（帐篷或大篷车内）歇脚的地方；v. 使坐落在，为......选址,Do you want to bookmark this site?　你想给这个站点做书签吗？
53,he,起点,开始前自测,,ˈhi,pron. 他；（泛指的）人；上帝；n. 男性，男子；雄性动物；n. （He）（中、美、丹）赫（人名）,He says he was framed.　他说他是被诬陷的。
54,up,起点,开始前自测,,ˈʌp,adv. 向上，由低向高；到楼上；（太阳）升起；在高处；面朝上，面朝天；从地下到表面，向水面；向北方，朝北方；往（较高或较远的）某处；去，在（更重要的地方，如大城市或大学）；到……的近处，靠近；到前面，朝前面；处于（或进入）直立状态；起床；用劲地，以较大气力；（吐）出来；（强度，音量，活动）由弱到强，由低到高，由轻到响；（列表中）处于更高位置，（议程中）处于更重要的位置；（水平、数量或比率）由低到高；高出，多；向较高地位，向更好的状态；出现，出席；（在品质、知识或成就方面）相等，比得上；一起，聚拢地；紧紧地，牢固地；计划要，被建议，正被考虑；<非正式>愿意做（或参与）；出庭受审的；处于工作（或可用）状态，进入（可用）状态；（在讨论或思考时）引起某人的注意；靠近（某人）；靠近顶端；做完地，完成地；封闭，关闭；成碎片，分成部分；处于活跃期，进入兴奋状态；公开展示地；停下来；每名队员，每个队；（航行）逆风地，逆水地；（舵柄）迎风转舵；（棒球）在场上击球；（长发）向头上（或脑后）梳理的；彻底地，完全地；（时间）到；（道路）正在整修的；<非正式>（尤指异常或不愉快的事情）发生，出现；prep. 往较高处，向较高处；沿着……，顺着……；近顶端；往（河，溪）上游；adj. 在高处；（向上）开；升于地平线之上；冒出地面，冒出水面；在前方，在前面；起床；上涨； (时间) 到点的；（正在）发生，进行，出现；得分领先于（对手），超前于（对手）；正常运行，正常工作，起作用；（在活动中）轮到某人；高兴，兴奋；对……了如指掌的，熟悉的；（道路）正在修整的；（骑师）骑着马的；（物理）（夸克的味）带有+2/3电荷的，上夸克的（质子和中子被认为是由上夸克和下夸克组成）；向上移动的，上行的； （时间）到点的；（时间）终止，结束,Her cheeks puffed up.　她的腮帮子鼓了起来。
55,may,起点,开始前自测,,ˈmeɪ,找不到解释；n. 五月,He may yield control.　他可能放弃控制权。
56,what,起点,开始前自测,,ˈwʌt,det. 什么；（指数量的全部）所……的；多么的，何等的；pron. 什么；多么；无论什么；……的事物；adj. 什么，什么样的；多么（好或坏）的；全部的，所有的,What happened next?　随后发生了什么？
57,which,起点,开始前自测,,ˈwɪtʃ,pron. 哪一个，哪一些；（指明事物）……的那个，……的那些；（进一步提供有关某事物的信息）那个，那些；det. 哪一个，哪一些；（指明事物）……的那个，……的那些；（进一步提供有关某事物的信息）那个，那些；adj. 哪一个，哪一些；无论哪个；（进一步提供有关某事物的信息）那个，那些,Which is their house?　哪座房子是他们的？
58,their,起点,开始前自测,,ˈðɛr,det. 他们的；她们的；它们的；n. （Their）（英）蒂尔；（芬、瑞典）泰尔（人名）,Their new album is their doomiest.　他们的新专辑是他们最失败的作品。
59,news,起点,开始前自测,,ˈnuz,n. 消息，新情况；新闻（报道）；新闻人物，新闻事件；电视新闻节目（the news）；（用于报纸名）新闻,The news astonished everyone.　这消息使大家十分惊讶。
60,out,起点,开始前自测,,ˈaʊt,adv. 出现；向外；在室外；出狱；遥远地；出海；退潮；指离球门线或终点线的距离；在公共娱乐场所；公开；出声地；殆尽；直至完成；完全；熄灭；除去；出局；prep. 从……里面出去，离开；adj. 熄灭的；盛开的；面市的；出局的；不能被接受的；过时的；不准确的；打算做……的；被公开的,Steam puffed out.　蒸汽向外喷出。
61,use,起点,开始前自测,,ˈjus,v. 用，使用；使用（词语）；耗费，消费；利用（他人或某种情形）；服（药，尤指毒品）；需要；用（名字），自称；对待；用（洗手间或卫生间）（礼貌说法）；n. 使用；用途，用法；词义，说法；使用机会，使用权；（尤指思想，体力）运用能力；耗费，耗用；（经常）服用（毒品）；<法律，史>（尤指受委托代管人的）受益；（教堂，教区）特色礼拜仪式；【名】 （Use）（德）乌泽（人名）,We'll use concrete paving.　我们将使用混凝土铺地面。
62,any,起点,开始前自测,,ˈɛni,det. 任何的，任一的；一点，些许；不寻常的；尽可能多的，所有的；pron. 任何一个；任何数量，任一数额；adv. 一点，丝毫；<美，非正式>压根儿,Any colour will do.　什么颜色都行。
63,there,起点,开始前自测,,ˈðɛr,那里,The shop is over there.　商店在那边。
64,see,起点,开始前自测,,ˈsi,v. 看见，看到；有视力，看得见；看（电影或电视节目）；注意到，看出；了解，发现；设想，预测；考虑，定夺；理解，认识到；参阅，参见；阅读；认为，看待；看望，探访；遇见，碰见；会见，会晤；交往；确保，查明；经历，遭受； （地点或时间）目睹，见证；帮助（或支持）……度过；送，护送；与（对方）下同样赌注；看（用于口语，引导注意力）；看上（see sth. in）；n. 主教教区；【名】 （See）（英）西伊，（柬）塞，（德）泽（人名）,Cheerio! I'll see you later.　再见！回头见。
65,only,起点,开始前自测,,ˈoʊnli,adv. 只，只有；仅在……情况下（或地方等）；只是，不过（表示不重要、不严重等）；（强调数量少或时间段）仅仅，才；不早于，直到……才；（除此之外别无可为）只能；（用于说明事情的恶果）只会；不料，竟然；只能（希望或愿望等）；（强调行动恰当）完全，真正；刚刚（强调某事刚发生）；险些没，差点没；adj. 仅有的，唯一的；最好的，最适合的；独生的；conj. <非正式>不过，但是；<非正式>要不是，若非,I'm only thinking of you.　我只是在为你着想。
66,so,起点,开始前自测,,ˈsoʊ,conj. 因而；所以ad.如此；那么;非常,He's an ungrateful so-and-so.　他是个忘恩负义的家伙。
67,his,起点,开始前自测,,ˈhɪz,det. 他的；它的（指雄性动物）；pron. 他的；n. （His）（法）伊斯（人名）,His mother always takes his part.　他母亲总是向着他。
68,when,起点,开始前自测,,ˈwɛn,adv. 什么时候；什么情况下；什么场合下；（用于时间的表达方式之后）在那时，其时；当时，当场；pron. 什么时候；何时；conj. 在……时候；在……之后；在任何……时候；一……就；考虑到，既然；虽然，然而，可是,Until when can you stay?　你可以待到什么时候？
69,contact,起点,开始前自测,,ˈkɑnˌtækt,n. 联系，联络；接触，触摸；联络人，熟人，社会关系；会见，往来，接触；传染病接触者；隐形眼镜；接通电，触点，接头；（无线电）通信；v. 联系，联络；接触；adj. 供联络的；接触性的，通过接触而起作用的,I will contact you by letter.　我会给你写信联系的。
70,here,起点,开始前自测,,ˈhir,这里,Please sit here.　请坐这里。
71,business,起点,开始前自测,,ˈbɪznəs,n. 商业；生意；交易；事情；n. 商业，买卖，生意；商务，公事；公司，企业；行业，职业；事务，职责；私事；事情；消费；系列事件,Business is booming!　生意兴隆！
72,who,起点,开始前自测,,ˈhu,pron. 谁；什么人,Who started the fire?　谁放的火？
73,web,起点,开始前自测,,ˈwɛb,n. （蜘蛛）网；网状物，错综复杂的事物；网络；（鸟兽的）蹼；连接板，金属薄条（片）；（连续印刷用）一卷纸；（制造卷筒纸的造纸机上的）无端金属丝网；织物；v. 用网（或网状物）覆盖；使中圈套；形成网,You need an up-to-date Web browser.　你需要一个最新的网络浏览器。
74,also,起点,开始前自测,,ˈɔlsoʊ,adv. 此外，而且；也，同样；conj. 另外，又；【名】 （Also）（罗）阿尔索（人名）,He also trilled his r's.　他发“r”音时，声音也抖动了一下。
75,now,起点,开始前自测,,ˈnaʊ,adv. 现在，此刻；马上，立刻；（用于引起注意或用于转换话题）好了；到现在为止，迄今；这样一来；（用于婉转地强调请求或命令）好了；你要知道（用于信息承上启下）；然而；用于叙述过去的事当时，那时；现在到了这个地步；嗯（在决定下面说什么时的停顿用语）；（用于讽刺性反问的结尾）哦；<文>时而；adj. 现在的；<非正式>流行的，时髦的；n. 现在，此刻,What's the score now?　现在比分是多少？
76,help,起点,开始前自测,,ˈhɛlp,帮助,"Could you help me, please?　请问你能帮助我吗？"
77,get,起点,开始前自测,,ˈɡɛt,v. 收到，接到；获得，得到；挣得，赚得；去取，去带来；买；得（病），患（病）；遭受……之苦；变成，变得；形成（想法、感觉）；促使，使得；使开始，使进展；得以做，有机会做；到达；达到（某一点或某一阶段）；移动，去；理解，明白；有，经历；做（饭）；搭乘，乘坐；接（电话），应（门铃）；与……通电话；捕获，抓获；袭击，打伤，杀死；<非正式>使恼火，使难过；使困惑，难住；接收（电视广播信号）；受到（惩罚）；<非正式>注意到；n. <英，非正式>（说话人）讨厌（或鄙夷）的人；<旧>（动物的）后代,I get bored easily.　我易生厌倦。
78,pm,起点,开始前自测,释义待核实，不进入核心练习,ˌpiˈɛm,释义待核实，不计入核心练习,
79,view,起点,开始前自测,,ˈvju,n. 观点，看法；（理解或思维的）方法，方式；景象，视野；风景，景色；风景画，风景照；图像，视图；（一次）观看，一睹，一览；（文本或图表在计算机屏幕上的）显示方式；v. 看待，考虑；观看；查看，观察；（在计算机屏幕上）阅读，看；看见（狐狸）离开隐藏处,Such a view is pleasing.　这样一种风景令人愉快。
80,online,起点,开始前自测,,ˈɔnˌlaɪn,adj. （产品、服务或信息）在线的，网上的；（计算机）联机的；adv. 在网上，利用网际网路（购买、获得等）；联机地，在电脑操控下；开始运行，存在着,An online tutorial is provided.　在线辅导可供查阅。
81,c,起点,开始前自测,释义待核实，不进入核心练习,ˈsi,释义待核实，不计入核心练习,
82,e,起点,开始前自测,释义待核实，不进入核心练习,ˈi,释义待核实，不计入核心练习,
83,first,起点,开始前自测,,ˈfɝst,det. 第一位的，最先的；首（次）的；（某一时间或某事后的）紧接着来到的；（一列中）最前面的；最重要的；（用于工作或职位的头衔中）最高的；最迫切的，最合适的；adv. 第一，最初；起初；第一次；（列举时用）首先；（强调不愿意）宁可；以身体的某一部位（或某人）在先（或为首）；n. 第一个人（或事物)；前所未有的事情；（汽车、自行车等的）最低档；（英国大学学位）最高成绩；（棒球）第一垒；一等品,First class costs more.　第一类邮件邮资较高。
84,am,起点,开始前自测,,ˈæm,是（与 I 搭配）,I am a student.　我是学生。
85,been,起点,开始前自测,释义待核实，不进入核心练习,ˈbɪn,释义待核实，不计入核心练习,
86,would,起点,开始前自测,,ˈwʊd,v. 将，将会（will 的过去式，用于转述）；会......（用于提出意见或征求建议时）；会，就（表示预期或设想）；会（表示不曾发生或不可能存在的事）；才会，就会（说明动机）；想（表示某人想要某物或想做某事）；就（不），偏（不）；请…...好吗？（表示客气地请求别人做某事）；要不要…...？；过去老是，过去常常；总是，爱（带出一贯的行为）；<文>但愿…...（表示强烈的愿望）；也许，大概（表示推测或希望）；肯定，应该（表示有充分理由猜测是某种情况）,What would you propose?　你想提什么建议？
87,how,起点,开始前自测,,ˈhaʊ,adv. 怎样，如何；（指状况、情况）好否，怎么样；（用于询问数量、程度）多少，怎么；（强调程度）多么，何等；（用于引出想要谈及的事实）；conj. 怎样，如何；以任何方式，无论用什么方法；n. 方式，方法,How much is haulage?　运费是多少？
88,were,起点,开始前自测,释义待核实，不进入核心练习,ˈwɝ,释义待核实，不计入核心练习,
89,me,起点,开始前自测,,ˈmi,pron. 我（宾格）；n. 自我；极端自私的人；自我的一部分；n. （Me）人名；（日）马（姓）；（朝）袂；（阿拉伯、柬、老）梅,They spat at me and taunted me.　他们又朝我吐唾沫又嘲弄我。
90,s,起点,开始前自测,释义待核实，不进入核心练习,ˈɛs,释义待核实，不计入核心练习,
91,services,起点,开始前自测,释义待核实，不进入核心练习,ˈsɝvəsəz,释义待核实，不计入核心练习,
92,some,起点,开始前自测,,ˈsʌm,det. 若干，一些；某个，某种；相当多，大量；少量的，不多的；了不起的，很不错的；不怎么样的，算不上……的；pron. 有些，一部分；adv. <美>有些，稍微；大约,I picked some flowers.　我摘了一些花。
93,these,起点,开始前自测,释义待核实，不进入核心练习,ˈðiz,释义待核实，不计入核心练习,
94,click,起点,开始前自测,,ˈklɪk,v. （用鼠标）点击；发出咔嗒声；一见如故，受欢迎；突然明白，恍然大悟；配合默契，进展顺利；得到关注，引起兴趣；n. 短而尖的声音，咔哒声；点击；（南非语等语言的）倒吸气音,"If you get stuck, click on Help.　如果你碰到困难，请点击“帮助”。"
95,its,起点,开始前自测,,ˈɪts,pron. 它的；n. （Its）人名；（俄）伊茨,Its film industry operates in its own curiously hermetic way.　它的电影业以奇特而封闭的方式运作。
96,like,起点,开始前自测,,ˈlaɪk,喜欢,I like cooking.　我喜欢做饭。
97,service,起点,开始前自测,,ˈsɝvəs,n. 公共服务系统，公共事业；（服务性行业或机构所提供的）服务；（对顾客的）接待，招待；工作，效劳；服务费；政府机构，公务部门；兵役，军队；（机器的）使用；<旧>仆人，佣人；<英> 服务站；宗教仪式；检修，保养；整套餐具；发球，发球方式；班车，车次；（法律文件的）送达；v. 维修，检修；支付（债务）利息；为……提供服务；（雄性动物）与（雌性动物）交配；adj. 员工专用的； 部队的；提供服务的,The service is maddeningly slow.　服务慢得让人恼火。
98,x,起点,开始前自测,释义待核实，不进入核心练习,ˈɛks,释义待核实，不计入核心练习,
99,than,起点,开始前自测,,ˈðæn,conj. （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）；prep. （用以引出比较的第二部分）比；（比较数量、距离等）多于；（表示一事紧跟另一事发生）就；除……（外）；n. （Than）（越）丹（人名）,It's raining worse than ever.　雨下得比以往都大。
100,find,起点,开始前自测,,ˈfaɪnd,v. 找到，找回；发现，发觉；（经过研究）找出，查明；感到，认为；生长在某处，存在于某地；设法获得；开始有……；裁决，判决；自然到达，达到；鼓起（勇气），振作（精神）；（猎人，猎犬）发现猎物（尤指发现狐狸）；n. 被发现的人，发现物（尤指有价值的人或物）；发现狐狸；【名】 （Find）（丹）芬（人名）,I find cooking very relaxing.　我发现烹饪非常令人放松。
101,price,起点,开始前自测,,ˈpraɪs,价格,What is the price?　价格是多少？
102,date,起点,开始前自测,,ˈdeɪt,n. 日期，日子；约会，幽会；约会对象；椰枣，海枣；v. 注明日期；确定年代；<美>谈恋爱，约会；过时，不流行；使显老；【名】 （Date）（英）戴特，（日）伊达（人名）,I can't come on that date.　那个日子我来不了。
103,back,起点,开始前自测,,ˈbæk,n. 后面，后部；背部；（文件等的）背面；（书等的）末尾；椅背，靠背；后卫；（the Backs）（背向剑河的）剑桥大学后园；adj. 后面的，位于后部的；偏远的，偏僻的；到期未付的，拖欠的；早期出版的，过期的；向后的，相反的；（18穴高尔夫球场的）后9穴的；（音）后位的，舌后的；adv. 回原处，恢复原状；回报，回复；向后；束起 ，收拢；与（某物）有距离，在远处；（将钟表）拨回；在曾去过（或提到过）的地方；回到过去，追溯至；控制住，忍住；归还，取回；再次，又一次,I'll be right back.　我马上就回来。
